,property_type,operation_type,created_on,lat,lon,l2,bathrooms,price,surface,rooms_bedrooms,month,year
1028,Casa,Venta,2020-10-07,3.275,-76.509,Valle del Cauca,3.0,365000000.0,,4.0,10,2020
1029,Casa,Venta,2020-10-07,3.269,-76.511,Valle del Cauca,3.0,335000000.0,,2.0,10,2020
1030,Casa,Venta,2020-10-07,3.666,-76.191,Valle del Cauca,3.0,380000000.0,170.0,4.0,10,2020
1032,Casa,Venta,2020-10-07,3.266,-76.584,Valle del Cauca,3.0,630000000.0,,3.0,10,2020
1033,Casa,Venta,2020-10-07,3.26,-76.55,Valle del Cauca,3.0,450000000.0,,3.0,10,2020
1050,Casa,Venta,2020-10-07,5.0664636,-75.4988729,Caldas,3.0,350000000.0,,3.0,10,2020
1278,Casa,Venta,2020-10-07,6.1948685,-75.558817,Antioquia,3.0,1100000000.0,,3.0,10,2020
1296,Casa,Venta,2020-10-07,6.204,-75.576,Antioquia,3.0,500000000.0,147.0,3.0,10,2020
1308,Casa,Venta,2020-10-07,4.756503,-74.0515526,Cundinamarca,3.0,480000000.0,,3.0,10,2020
1311,Casa,Venta,2020-10-07,4.703,-74.057,Cundinamarca,3.0,800000000.0,175.0,5.0,10,2020
1343,Casa,Venta,2020-10-07,7.917,-72.486,Norte de Santander,4.0,280000000.0,120.0,4.0,10,2020
1348,Casa,Venta,2020-10-07,3.328,-76.639,Valle del Cauca,4.0,880000000.0,,4.0,10,2020
1349,Casa,Venta,2020-10-07,3.365,-76.538,Valle del Cauca,4.0,1450000000.0,,6.0,10,2020
1352,Casa,Venta,2020-10-07,3.4695379,-76.5274461,Valle del Cauca,4.0,480000000.0,,4.0,10,2020
1353,Casa,Venta,2020-10-07,3.481,-76.519,Valle del Cauca,4.0,360000000.0,,6.0,10,2020
1354,Casa,Venta,2020-10-07,3.364,-76.538,Valle del Cauca,4.0,410000000.0,,3.0,10,2020
1355,Casa,Venta,2020-10-07,3.432,-76.539,Valle del Cauca,4.0,450000000.0,,5.0,10,2020
1357,Casa,Venta,2020-10-07,3.364,-76.538,Valle del Cauca,4.0,480000000.0,,3.0,10,2020
1359,Casa,Venta,2020-10-07,3.451,-76.532,Valle del Cauca,4.0,650000000.0,,4.0,10,2020
1360,Casa,Venta,2020-10-07,3.383,-76.531,Valle del Cauca,4.0,630000000.0,,4.0,10,2020
1361,Casa,Venta,2020-10-07,3.362,-76.541,Valle del Cauca,4.0,680000000.0,,3.0,10,2020
1362,Casa,Venta,2020-10-07,3.371,-76.522,Valle del Cauca,4.0,450000000.0,,3.0,10,2020
1363,Casa,Venta,2020-10-07,3.362,-76.541,Valle del Cauca,4.0,425000000.0,,3.0,10,2020
1364,Casa,Venta,2020-10-07,3.328,-76.639,Valle del Cauca,4.0,1500000000.0,,4.0,10,2020
1366,Casa,Venta,2020-10-07,3.328,-76.639,Valle del Cauca,4.0,820000000.0,,3.0,10,2020
1367,Casa,Venta,2020-10-07,3.364,-76.538,Valle del Cauca,4.0,750000000.0,,3.0,10,2020
1368,Casa,Venta,2020-10-07,3.328,-76.639,Valle del Cauca,4.0,1250000000.0,,3.0,10,2020
1376,Casa,Venta,2020-10-07,3.432,-76.539,Valle del Cauca,4.0,450000000.0,,5.0,10,2020
1379,Casa,Venta,2020-10-07,3.49,-76.499,Valle del Cauca,4.0,250000000.0,189.0,5.0,10,2020
1385,Casa,Venta,2020-10-07,3.328,-76.639,Valle del Cauca,4.0,940000000.0,,3.0,10,2020
1390,Casa,Venta,2020-10-07,3.412,-76.56,Valle del Cauca,4.0,950000000.0,,4.0,10,2020
1406,Casa,Venta,2020-10-07,3.2538606,-76.5387203,Valle del Cauca,4.0,425000000.0,,3.0,10,2020
